post_id,user_name,post_type,post_country,post_language,likes_cnt,comments_cnt,saved_cnt,genre,hash_tags,description
0000,user_28,Video,India,English,751,196,52,Travel,"['AI', 'students', 'health', 'technology', 'vacation']",A post about travel.
0001,user_1,Image,India,German,716,114,56,Fitness,"['health', 'AI', 'vacation', 'forest']",A post about fitness.
0002,user_65,Video,USA,French,867,400,120,Fitness,"['learning', 'recipe', 'machinelearning']",A post about fitness.
0003,user_46,Video,Germany,Spanish,554,145,102,Technology,"['nature', 'AI', 'beach']",A post about technology.
0004,user_54,Video,Australia,Hindi,412,99,51,Nature,"['vacation', 'forest']",A post about nature.
0005,user_82,Text,USA,German,382,155,99,Travel,"['forest', 'health', 'technology', 'students']",A post about travel.
0006,user_90,Video,Germany,German,565,204,141,Technology,"['technology', 'forest', 'recipe', 'learning']",A post about technology.
0007,user_86,Reel,Australia,German,1069,419,149,Fitness,"['AI', 'technology', 'recipe', 'learning', 'students']",A post about fitness.
0008,user_44,Text,USA,German,470,176,54,Fitness,"['vacation', 'nature', 'coding', 'health']",A post about fitness.
0009,user_38,Image,USA,English,739,77,133,Fitness,"['beach', 'nature', 'travel', 'health', 'students']",A post about fitness.
0010,user_22,Text,Germany,Spanish,388,106,54,Cooking,"['nature', 'health', 'learning', 'vacation']",A post about cooking.
0011,user_17,Video,UK,Spanish,477,99,78,Technology,"['learning', 'coding', 'forest']",A post about technology.
0012,user_57,Text,Australia,English,417,135,56,Travel,"['vacation', 'travel', 'wildlife', 'coding', 'forest']",A post about travel.
0013,user_34,Reel,Germany,Hindi,602,299,109,Technology,"['coding', 'vacation', 'beach']",A post about technology.
0014,user_46,Image,USA,Hindi,755,286,146,Education,"['wildlife', 'beach', 'machinelearning']",A post about education.
0015,user_27,Reel,UK,Hindi,434,205,121,Nature,"['AI', 'recipe', 'health']",A post about nature.
0016,user_5,Image,Canada,Spanish,750,296,186,Fitness,"['technology', 'machinelearning']",A post about fitness.
0017,user_70,Text,UK,Spanish,436,83,67,Travel,"['machinelearning', 'wildlife', 'learning']",A post about travel.
0018,user_61,Image,Canada,German,840,399,85,Education,"['forest', 'coding']",A post about education.
0019,user_40,Text,India,German,419,81,50,Travel,"['wildlife', 'health', 'coding']",A post about travel.
0020,user_54,Video,India,French,925,312,51,Fitness,"['coding', 'beach', 'vacation', 'technology', 'forest']",A post about fitness.
0021,user_72,Text,Australia,English,184,47,37,Nature,"['coding', 'recipe']",A post about nature.
0022,user_45,Video,USA,English,931,193,108,Fitness,"['learning', 'health', 'students', 'vacation']",A post about fitness.
0023,user_7,Reel,India,Hindi,1023,295,180,Fitness,"['recipe', 'beach', 'health', 'coding']",A post about fitness.
0024,user_45,Reel,UK,Spanish,800,395,80,Cooking,"['fitness', 'nature']",A post about cooking.
0025,user_14,Image,India,English,671,109,78,Fitness,"['beach', 'recipe', 'vacation', 'fitness']",A post about fitness.
0026,user_87,Text,Australia,Spanish,553,260,133,Education,"['beach', 'nature', 'students']",A post about education.
0027,user_72,Text,USA,Spanish,191,44,45,Nature,"['students', 'technology', 'beach', 'health']",A post about nature.
0028,user_23,Image,UK,German,483,238,113,Cooking,"['students', 'nature', 'recipe', 'coding']",A post about cooking.
0029,user_35,Image,USA,Spanish,708,245,177,Fitness,"['machinelearning', 'fitness', 'recipe', 'nature', 'coding']",A post about fitness.
0030,user_98,Text,Canada,French,260,38,34,Nature,"['coding', 'forest']",A post about nature.
0031,user_42,Text,Canada,Hindi,578,281,166,Education,"['travel', 'forest']",A post about education.
0032,user_93,Video,Germany,French,863,283,99,Fitness,"['travel', 'forest']",A post about fitness.
0033,user_47,Reel,Germany,English,1073,365,94,Fitness,"['machinelearning', 'forest']",A post about fitness.
0034,user_26,Text,UK,Spanish,314,69,58,Technology,"['travel', 'beach', 'forest', 'learning']",A post about technology.
0035,user_12,Text,UK,French,450,162,111,Travel,"['coding', 'learning']",A post about travel.
0036,user_24,Text,Canada,German,162,40,46,Nature,"['technology', 'fitness', 'wildlife', 'AI', 'machinelearning']",A post about nature.
0037,user_11,Image,UK,French,717,261,100,Fitness,"['technology', 'recipe']",A post about fitness.
