post_id,post_country,post_language,likes_cnt,comments_cnt,saved_cnt,post_type,genre,hash_tags,description,related_genres
0000,India,Hindi,749,86,73,Reel,Fitness,"['AI', 'fashion', 'art', 'science', 'machinelearning', 'forest', 'travel']","A post about fitness featuring AI, fashion.","['Travel', 'Health']"
0001,Italy,Hindi,228,53,44,Image,Nature,"['music', 'education', 'vacation', 'science', 'nature', 'art']","A post about nature featuring music, education.","['Sports', 'Cooking']"
0002,Japan,Hindi,765,214,101,Video,Fashion,"['nature', 'learning', 'coding', 'culture', 'technology', 'AI', 'fitness']","A post about fashion featuring nature, learning.","['Fitness', 'Technology']"
0003,Italy,Spanish,395,75,20,Text,Fashion,"['science', 'culture', 'education', 'beach']","A post about fashion featuring science, culture.","['Health', 'Music']"
0004,Germany,Spanish,866,181,121,Video,Health,"['coding', 'students', 'fitness', 'wildlife']","A post about health featuring coding, students.","['Sports', 'Technology']"
0005,USA,Japanese,589,76,35,Video,Travel,"['culture', 'art', 'science']","A post about travel featuring culture, art.","['Sports', 'Fashion']"
0006,Australia,Hindi,765,178,87,Video,Education,"['fashion', 'wildlife', 'music', 'culture']","A post about education featuring fashion, wildlife.","['Sports', 'Health']"
0007,Italy,Japanese,577,151,101,Image,Fashion,"['art', 'coding', 'beach', 'recipe', 'adventure']","A post about fashion featuring art, coding.","['Sports', 'Education']"
0008,Australia,French,993,158,61,Reel,Fashion,"['beach', 'machinelearning', 'coding']","A post about fashion featuring beach, machinelearning.","['Music', 'Sports']"
0009,USA,Hindi,439,88,24,Text,Health,"['adventure', 'food', 'health']","A post about health featuring adventure, food.","['Education', 'Fitness']"
0010,India,Spanish,223,52,44,Text,Technology,"['sports', 'recipe', 'forest', 'coding', 'fitness']","A post about technology featuring sports, recipe.","['Cooking', 'Health']"
0011,Italy,French,588,161,43,Video,Cooking,"['fitness', 'AI', 'science', 'travel', 'wildlife']","A post about cooking featuring fitness, AI.","['Sports', 'Nature']"
0012,India,Japanese,640,152,103,Video,Fitness,"['coding', 'science', 'fitness', 'travel']","A post about fitness featuring coding, science.","['Health', 'Nature']"
0013,France,Japanese,695,165,37,Reel,Cooking,"['AI', 'art', 'music', 'science']","A post about cooking featuring AI, art.","['Sports', 'Cooking']"
0014,Italy,German,449,88,42,Text,Music,"['sports', 'education', 'travel', 'food']","A post about music featuring sports, education.","['Technology', 'Travel']"
0015,Canada,French,409,92,44,Video,Technology,"['culture', 'coding', 'food', 'travel']","A post about technology featuring culture, coding.","['Sports', 'Fitness']"
0016,Italy,English,907,109,124,Reel,Education,"['beach', 'recipe', 'machinelearning', 'fitness']","A post about education featuring beach, recipe.","['Cooking', 'Sports']"
0017,India,Spanish,444,116,31,Reel,Technology,"['fitness', 'vacation', 'coding', 'students']","A post about technology featuring fitness, vacation.","['Fitness', 'Fashion']"
0018,India,Hindi,501,128,43,Image,Fitness,"['travel', 'recipe', 'coding', 'beach', 'fashion', 'culture']","A post about fitness featuring travel, recipe.","['Fitness', 'Cooking']"
0019,Japan,German,765,104,110,Reel,Education,"['AI', 'recipe', 'adventure', 'art', 'vacation', 'travel']","A post about education featuring AI, recipe.","['Music', 'Fashion']"
0020,Brazil,English,580,162,65,Reel,Technology,"['sports', 'music', 'technology', 'fitness', 'forest', 'adventure', 'machinelearning']","A post about technology featuring sports, music.","['Travel', 'Health']"
